Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jarren Duran,BOS,OF,28,160,671,111,191,48,14,21,75,34,7,54,160,1,3,6,.285,.342,.492,.834
Ezequiel Tovar,COL,SS,23,157,655,83,176,45,4,26,78,6,5,23,200,5,7,4,.269,.295,.469,.764
Marcus Semien,TEX,2B,34,159,650,101,154,27,2,23,74,8,3,64,105,0,1,3,.237,.308,.391,.699
Anthony Volpe,NYY,SS,23,160,637,90,155,27,7,12,60,28,7,42,156,2,3,4,.243,.293,.364,.657
Bobby Witt,KC,SS,24,161,636,125,211,45,11,32,109,31,12,57,106,0,8,8,.332,.389,.588,.977
Shohei Ohtani,LAD,DH,30,159,636,134,197,38,7,54,130,59,4,81,162,0,5,6,.310,.390,.646,1.036
Gunnar Henderson,BAL,SS,23,159,630,118,177,31,7,37,92,21,4,78,159,0,4,7,.281,.364,.529,.893
Jose Altuve,HOU,2B,34,153,628,94,185,31,0,20,65,22,7,47,119,0,0,7,.295,.350,.439,.789
Bryan Reynolds,PIT,OF,30,156,622,73,171,29,3,24,88,10,2,57,156,0,3,10,.275,.344,.447,.791
Jose Ramirez,CLE,3B,32,158,620,114,173,39,2,39,118,41,7,54,82,0,6,1,.279,.335,.537,.872
Francisco Lindor,NYM,SS,31,152,618,107,169,39,1,33,91,29,4,56,127,0,3,12,.273,.344,.500,.844
Elly De La Cruz,CIN,SS,23,160,618,105,160,36,10,25,76,67,16,69,218,2,1,6,.259,.339,.471,.810
Vladimir Guerrero,TOR,1B,25,159,616,98,199,44,1,30,103,2,2,72,96,0,4,5,.323,.396,.544,.940
Willy Adames,MIL,SS,29,161,610,93,153,33,0,32,112,21,4,74,173,0,3,1,.251,.331,.462,.793
Pete Alonso,NYM,1B,30,162,608,91,146,31,0,34,88,3,0,70,172,0,4,13,.240,.329,.459,.788
Marcell Ozuna,ATL,DH,34,162,606,96,183,31,0,39,104,1,0,74,170,0,4,3,.302,.378,.546,.924
Nick Castellanos,PHI,OF,33,162,606,80,154,30,4,23,86,6,2,41,139,0,2,10,.254,.311,.431,.742
Jeremy Pena,HOU,SS,27,157,602,78,160,28,2,15,70,20,6,25,111,3,6,14,.266,.308,.394,.702
Matt Olson,ATL,1B,30,162,600,78,148,37,1,29,98,0,0,71,170,0,5,9,.247,.333,.457,.790
Paul Goldschmidt,STL,1B,37,154,599,70,147,33,1,22,65,11,0,47,173,0,2,2,.245,.302,.414,.716
Anthony Santander,BAL,OF,30,155,595,91,140,25,2,44,102,2,0,58,129,0,5,7,.235,.308,.506,.814
William Contreras,MIL,C,27,155,595,99,167,37,2,23,92,9,2,78,139,0,3,3,.281,.365,.466,.831
Manny Machado,SD,3B,32,152,593,77,163,30,0,29,105,11,2,45,124,0,4,1,.275,.325,.472,.797
Salvador Perez,KC,C,34,158,590,58,160,28,0,27,104,0,0,44,129,0,6,11,.271,.330,.456,.786
Teoscar Hernandez,LAD,OF,32,154,589,84,160,32,2,33,99,12,3,53,188,0,1,8,.272,.339,.501,.840
Corbin Carroll,ARI,OF,24,158,589,121,136,22,14,22,74,35,8,73,130,3,9,10,.231,.322,.428,.750
Gleyber Torres,NYY,2B,28,154,587,80,151,26,0,15,63,4,3,65,136,2,8,3,.257,.330,.378,.708
Brendan Donovan,STL,2B,28,153,587,65,163,34,3,14,73,5,5,47,81,0,5,13,.278,.342,.417,.759
Masyn Winn,STL,SS,22,150,587,85,157,32,5,15,57,11,5,41,109,3,5,1,.267,.314,.416,.730
Yainer Diaz,HOU,C,26,148,585,70,175,29,3,16,84,2,0,24,107,0,8,2,.299,.325,.441,.766
Taylor Ward,LAA,OF,31,156,585,73,144,26,2,25,75,6,4,63,163,0,8,7,.246,.323,.426,.749
Andres Gimenez,CLE,2B,26,152,583,64,147,22,1,9,63,30,5,26,97,3,6,15,.252,.298,.340,.638
Nico Hoerner,CHC,2B,27,151,582,86,159,35,1,7,48,31,6,44,66,0,3,12,.273,.335,.373,.708
Alex Bregman,HOU,3B,30,145,581,79,151,30,2,26,75,3,1,44,86,0,4,5,.260,.315,.453,.768
Adolis Garcia,TEX,OF,32,154,580,68,130,27,0,25,85,11,5,45,177,0,6,6,.224,.284,.400,.684
Nolan Arenado,STL,3B,33,152,578,70,157,23,0,16,71,2,2,44,92,0,7,5,.272,.325,.394,.719
Jake Cronenworth,SD,2B,31,155,577,72,139,29,3,17,83,5,2,61,118,1,3,11,.241,.324,.390,.714
Juan Soto,NYY,OF,26,157,576,128,166,31,4,41,109,7,4,129,119,0,4,4,.288,.419,.569,.988
Matt Chapman,SF,3B,31,154,575,98,142,39,2,27,78,15,2,64,158,0,2,6,.247,.328,.463,.791
Maikel Garcia,KC,3B,25,157,575,84,133,27,5,7,58,37,2,42,103,4,5,0,.231,.281,.332,.613
Spencer Steer,CIN,OF,27,158,574,74,129,34,4,20,92,25,3,72,137,0,2,8,.225,.319,.402,.721
Kyle Schwarber,PHI,DH,32,150,573,110,142,22,0,38,104,5,3,106,197,0,8,5,.248,.366,.485,.851
JJ Bleday,OAK,OF,27,159,572,74,139,43,4,20,60,2,3,67,125,1,0,2,.243,.324,.437,.761
Adley Rutschman,BAL,C,27,148,571,68,143,21,1,19,79,1,0,58,103,0,7,2,.250,.318,.391,.709
Brandon Nimmo,NYM,OF,31,151,571,88,128,25,3,23,90,15,0,77,158,0,3,12,.224,.327,.399,.726
Eugenio Suarez,ARI,3B,33,158,571,90,146,28,2,30,101,2,1,49,176,0,11,9,.256,.319,.469,.788
Andrew Vaughn,CWS,1B,26,149,570,55,140,30,1,19,70,2,0,38,132,0,5,6,.246,.297,.402,.699
Ian Happ,CHC,OF,30,153,569,89,138,34,2,25,86,13,2,80,168,0,2,6,.243,.341,.441,.782
Ryan McMahon,COL,3B,30,153,567,68,137,28,0,20,65,4,6,69,185,0,4,3,.242,.325,.397,.722
Julio Rodriguez,SEA,OF,24,143,567,76,155,17,0,20,68,24,5,38,156,0,2,6,.273,.325,.409,.734
Jurickson Profar,SD,OF,32,158,564,94,158,29,0,24,85,10,3,76,101,5,5,18,.280,.380,.459,.839
Josh Naylor,CLE,1B,27,152,563,84,137,27,0,31,108,6,2,58,105,0,4,7,.243,.320,.456,.776
Yandy Diaz,TB,1B,33,145,563,55,158,31,1,14,65,0,0,50,95,0,4,4,.281,.341,.414,.755
Alex Verdugo,NYY,OF,28,149,559,74,130,28,1,13,61,2,1,49,93,2,10,1,.233,.291,.356,.647
Aaron Judge,NYY,OF,32,158,559,122,180,36,1,58,144,10,0,133,171,0,2,9,.322,.458,.701,1.159
Brice Turang,MIL,2B,25,155,559,72,142,24,4,7,57,50,6,50,105,5,3,2,.254,.316,.349,.665
Willi Castro,MIN,OF,27,158,558,89,138,31,5,12,60,14,9,51,150,1,4,21,.247,.331,.385,.716
Alec Bohm,PHI,3B,28,143,554,62,155,44,2,15,97,5,2,40,86,0,6,6,.280,.332,.448,.780
Jackson Merrill,SD,OF,21,156,554,77,162,31,6,24,90,16,3,29,101,4,5,1,.292,.326,.500,.826
Yordan Alvarez,HOU,OF,27,147,552,88,170,34,2,35,86,6,0,69,95,0,4,10,.308,.392,.567,.959
Orlando Arcia,ATL,SS,30,157,551,50,120,24,0,17,46,2,0,41,128,1,7,2,.218,.271,.354,.625
Bryce Harper,PHI,1B,32,145,550,85,157,42,0,30,87,7,4,76,138,1,2,2,.285,.373,.525,.898
Alec Burleson,STL,OF,26,152,547,71,147,20,0,21,78,9,4,35,76,1,6,4,.269,.314,.420,.734
Brent Rooker,OAK,DH,30,145,546,82,160,26,2,39,112,11,3,59,177,0,4,5,.293,.365,.562,.927
Cal Raleigh,SEA,C,28,153,546,73,120,16,0,34,100,6,1,70,176,0,6,6,.220,.312,.436,.748
George Springer,TOR,OF,35,145,545,74,120,19,3,19,56,16,1,60,115,0,2,6,.220,.303,.371,.674
Ceddanne Rafaela,BOS,OF,24,152,544,70,134,23,5,15,75,19,10,15,151,2,3,7,.246,.274,.390,.664
Zach Neto,LAA,SS,24,155,542,70,135,34,1,23,77,30,10,39,140,4,1,16,.249,.318,.443,.761
Freddie Freeman,LAD,1B,35,147,542,81,153,35,2,22,89,9,2,78,100,0,8,10,.282,.378,.476,.854
Brenton Doyle,COL,OF,26,149,542,82,141,24,4,23,72,30,5,46,153,4,8,3,.260,.317,.446,.763
CJ Abrams,WSH,SS,24,138,541,79,133,29,6,20,65,31,12,40,128,1,4,16,.246,.314,.433,.747
Oneil Cruz,PIT,OF,26,146,541,72,140,34,3,21,76,22,1,51,181,0,4,3,.259,.324,.449,.773
Jake Burger,MIA,1B,28,137,535,68,134,23,1,29,76,1,1,31,150,0,4,9,.250,.301,.460,.761
Dansby Swanson,CHC,SS,31,149,534,82,129,27,2,16,66,19,3,54,144,0,3,2,.242,.312,.390,.702
Jonathan India,CIN,2B,28,151,533,84,132,28,2,15,58,13,2,80,125,2,7,15,.248,.357,.392,.749
Jackson Chourio,MIL,OF,20,148,528,80,145,29,4,21,79,22,7,39,121,1,2,3,.275,.327,.464,.791
Rafael Devers,BOS,3B,28,138,525,87,143,34,5,28,83,3,0,67,147,0,6,3,.272,.354,.516,.870
Josh Smith,TEX,3B,27,149,523,67,135,30,1,13,62,11,2,46,121,2,3,18,.258,.337,.394,.731
Carlos Santana,MIN,1B,38,150,521,63,124,26,0,23,71,4,0,65,99,0,2,6,.238,.328,.420,.748
Nolan Schanuel,LAA,1B,23,147,519,62,130,19,0,13,54,10,1,68,103,3,7,9,.250,.343,.362,.705
Matt Vierling,DET,OF,28,144,518,80,133,28,5,16,57,6,1,41,121,0,5,3,.257,.312,.423,.735
Cody Bellinger,CHC,OF,29,130,516,72,137,23,3,18,78,9,2,45,89,0,5,3,.266,.325,.426,.751
Colt Keith,DET,2B,23,148,516,54,134,15,4,13,61,7,1,36,110,0,2,2,.260,.309,.380,.689
Lourdes Gurriel,ARI,OF,31,133,513,72,143,22,2,18,75,7,1,29,101,0,5,6,.279,.322,.435,.757
Riley Greene,DET,OF,24,137,512,82,134,27,6,24,74,4,2,64,156,0,2,5,.262,.348,.479,.827
Seiya Suzuki,CHC,OF,30,132,512,74,145,27,6,21,73,16,6,63,160,0,4,6,.283,.366,.482,.848
Bryson Stott,PHI,2B,27,148,506,65,124,19,2,11,57,32,3,53,93,0,9,3,.245,.315,.356,.671
Trea Turner,PHI,SS,31,121,505,88,149,25,0,21,62,19,4,27,98,0,1,6,.295,.338,.469,.807
Ketel Marte,ARI,2B,31,136,504,93,147,23,2,36,95,7,1,65,106,0,9,5,.292,.372,.560,.932
Brendan Rodgers,COL,2B,28,135,501,67,134,29,1,13,54,1,0,31,132,1,2,4,.267,.314,.407,.721
Luis Arraez,SD,1B,27,117,500,61,159,24,2,4,41,9,3,16,18,1,1,6,.318,.346,.398,.744
Luis Garcia,WSH,2B,24,140,500,58,141,25,1,18,70,22,5,27,86,0,1,0,.282,.318,.444,.762
Colton Cowser,BAL,OF,24,153,499,77,121,24,3,24,69,9,4,52,172,0,3,7,.242,.321,.447,.768
Wyatt Langford,TEX,OF,23,134,499,74,126,25,4,16,74,19,3,51,115,0,3,4,.253,.325,.415,.740
Zack Gelof,OAK,2B,25,138,497,60,105,20,2,17,49,25,3,38,188,3,5,4,.211,.270,.362,.632
Vinnie Pasquantino,KC,1B,27,131,496,64,130,30,2,19,97,1,0,40,71,1,13,4,.262,.315,.446,.761
Michael Busch,CHC,1B,27,152,496,73,123,28,2,21,65,2,1,63,162,0,4,4,.248,.335,.440,.775
Jesus Sanchez,MIA,OF,27,149,489,60,123,25,1,18,64,16,2,41,140,1,2,4,.252,.313,.417,.730
Nathaniel Lowe,TEX,1B,29,140,486,62,129,16,1,16,69,2,0,71,125,0,4,4,.265,.361,.401,.762
Shea Langeliers,OAK,C,27,137,482,58,108,18,2,29,80,4,2,41,145,0,6,5,.224,.288,.450,.738
Steven Kwan,CLE,OF,27,122,480,83,140,16,3,14,44,12,5,53,51,2,0,5,.292,.368,.425,.793
Leody Taveras,TEX,OF,26,151,480,59,110,17,3,12,44,23,6,42,112,3,4,0,.229,.289,.352,.641
Christian Walker,ARI,1B,33,130,479,72,120,26,0,26,84,2,2,55,133,0,8,10,.251,.335,.468,.803
Logan O'Hoppe,LAA,C,25,136,479,64,117,17,1,20,56,2,3,33,155,1,1,8,.244,.303,.409,.712
Andrew Benintendi,CWS,OF,30,135,477,50,109,20,0,20,64,3,2,41,96,0,3,1,.229,.289,.396,.685
Will Smith,LAD,C,29,128,476,77,118,24,2,20,75,1,1,51,105,0,8,9,.248,.327,.433,.760
Heliot Ramos,SF,OF,25,121,475,54,128,23,3,22,72,6,1,37,135,0,4,2,.269,.322,.469,.791
Corey Seager,TEX,SS,30,123,475,68,132,21,0,30,74,1,1,53,96,0,2,3,.278,.353,.512,.865
Sal Frelick,MIL,OF,24,145,475,66,123,22,4,2,32,18,3,39,78,2,1,4,.259,.320,.335,.655
Ryan Mountcastle,BAL,1B,28,124,473,54,128,30,2,13,63,3,0,27,114,0,6,1,.271,.308,.425,.733
Jacob Young,WSH,OF,25,150,468,75,120,24,1,3,36,33,10,30,102,9,2,12,.256,.316,.331,.647
Jake Meyers,HOU,OF,28,148,461,51,101,20,3,13,61,11,3,35,117,3,4,10,.219,.286,.360,.646
Jonah Heim,TEX,C,29,131,459,45,101,12,1,13,59,1,1,26,90,0,2,4,.220,.267,.336,.603
Keibert Ruiz,WSH,C,26,127,459,46,105,21,0,13,57,3,1,16,54,0,5,5,.229,.260,.359,.619
Daulton Varsho,TOR,OF,28,136,459,73,98,21,7,18,58,10,2,48,137,1,1,4,.214,.293,.407,.700
Tyler Stephenson,CIN,C,28,138,457,69,118,26,1,19,66,1,0,48,117,0,2,8,.258,.338,.444,.782
Gavin Sheets,CWS,OF,28,139,451,35,105,24,1,10,45,2,2,43,106,0,3,4,.233,.303,.357,.660
Mookie Betts,LAD,OF,32,116,450,75,130,24,5,19,75,16,2,61,57,0,4,1,.289,.372,.491,.863
Charlie Blackmon,COL,OF,38,124,449,59,115,24,5,12,52,6,2,43,86,0,1,6,.256,.329,.412,.741
Rhys Hoskins,MIL,1B,31,131,449,59,96,14,0,26,82,3,0,53,149,0,6,7,.214,.303,.419,.722
Andrew McCutchen,PIT,DH,38,120,448,66,104,18,1,20,50,3,2,58,133,0,2,7,.232,.328,.411,.739
Connor Wong,BOS,C,28,126,447,54,125,24,1,13,52,8,7,28,114,1,2,9,.280,.333,.425,.758
Cedric Mullins,BAL,OF,30,147,444,69,104,16,3,18,54,32,6,41,98,2,2,5,.234,.305,.405,.710
Ryan O'Hearn,BAL,1B,31,142,443,60,117,21,3,15,59,3,1,46,69,0,3,2,.264,.334,.427,.761
Jake McCarthy,ARI,OF,27,142,442,66,126,13,7,8,56,25,6,31,78,5,3,14,.285,.349,.400,.749
Jose Caballero,TB,SS,28,139,441,53,100,24,1,9,44,44,16,27,133,3,3,9,.227,.283,.347,.630
Michael Harris,ATL,OF,23,110,440,58,116,14,3,16,48,10,6,23,94,0,3,4,.264,.304,.418,.722
Joey Ortiz,MIL,3B,26,142,440,58,105,25,6,11,60,11,6,56,103,3,6,6,.239,.329,.398,.727
Gavin Lux,LAD,2B,27,139,439,59,110,24,2,10,50,5,2,44,110,0,2,2,.251,.320,.383,.703
Michael Conforto,SF,OF,32,130,438,56,104,27,3,20,66,0,1,42,118,0,3,5,.237,.309,.450,.759
J.D. Martinez,NYM,DH,37,120,434,46,102,24,1,16,69,0,0,49,141,0,2,6,.235,.320,.406,.726
Ernie Clement,TOR,3B,28,139,434,48,114,21,3,12,51,12,3,11,41,2,2,3,.263,.284,.408,.692
Xander Bogaerts,SD,SS,32,111,428,50,113,15,1,11,44,13,3,28,79,0,6,1,.264,.307,.381,.688
Mike Yastrzemski,SF,OF,34,140,428,60,99,16,9,18,57,3,2,38,124,1,1,6,.231,.302,.437,.739
Jeimer Candelario,CIN,1B,31,112,427,47,96,23,2,20,56,4,3,27,114,0,3,6,.225,.279,.429,.708
Austin Riley,ATL,3B,27,110,425,63,109,26,2,19,56,0,0,37,118,0,2,5,.256,.322,.461,.783
Jeff McNeil,NYM,2B,32,129,424,57,101,26,0,12,44,5,1,35,68,1,3,9,.238,.308,.384,.692
Bryan De La Cruz,MIA,OF,28,105,424,44,104,19,0,18,51,3,1,25,118,0,2,2,.245,.289,.417,.706
Josh Rojas,SEA,3B,30,143,422,48,95,19,2,8,31,10,4,46,108,1,2,3,.225,.304,.336,.640
Brandon Marsh,PHI,OF,27,135,418,55,104,17,3,16,60,19,3,50,154,1,5,2,.249,.328,.419,.747
Jorge Polanco,SEA,2B,31,118,417,43,89,11,0,16,45,4,2,46,137,0,2,4,.213,.296,.355,.651
Giancarlo Stanton,NYY,DH,35,114,417,49,97,20,0,27,72,0,0,38,143,0,2,2,.233,.298,.475,.773
Jordan Westburg,BAL,2B,26,107,416,57,110,26,5,18,63,6,3,22,97,1,1,7,.264,.312,.481,.793
Mark Vientos,NYM,3B,25,111,413,58,110,22,0,27,71,0,0,33,135,0,5,3,.266,.322,.516,.838
MJ Melendez,KC,OF,26,135,412,44,85,23,3,17,44,4,4,35,113,0,0,3,.206,.273,.400,.673
Jarred Kelenic,ATL,OF,25,131,412,49,95,18,2,15,45,7,2,32,133,1,3,1,.231,.286,.393,.679
Ryan Jeffers,MIN,C,27,122,412,56,93,22,0,21,64,3,0,32,94,1,6,14,.226,.300,.432,.732
Lawrence Butler,OAK,OF,24,125,412,63,108,24,2,22,57,18,0,35,108,0,4,0,.262,.317,.490,.807
Tyler O'Neill,BOS,OF,29,113,411,74,99,18,0,31,61,4,0,53,159,0,2,7,.241,.336,.511,.847
Jo Adell,LAA,OF,25,130,405,54,84,15,2,20,62,15,10,35,126,0,3,7,.207,.280,.402,.682
Luke Raley,SEA,1B,30,137,404,58,98,19,2,22,58,11,2,27,135,2,2,20,.243,.320,.463,.783
Andy Pages,LAD,OF,24,116,403,65,100,23,1,13,46,1,2,29,108,0,4,6,.248,.305,.407,.712
Otto Lopez,MIA,2B,26,117,403,49,109,23,1,6,39,20,4,25,75,2,2,1,.270,.313,.377,.690
Ha-Seong Kim,SD,SS,29,121,403,60,94,16,3,11,47,22,5,58,77,4,3,2,.233,.330,.370,.700
Jose Siri,TB,OF,29,130,402,50,75,16,1,18,47,14,7,31,170,2,4,7,.187,.255,.366,.621
Harrison Bader,NYM,OF,30,143,402,57,95,19,0,12,51,17,8,21,95,0,6,8,.236,.284,.373,.657
Mauricio Dubon,HOU,OF,30,137,402,45,108,25,0,4,47,3,2,16,55,3,5,2,.269,.296,.361,.657
Jose Miranda,MIN,3B,26,121,401,44,114,28,4,9,49,2,2,18,66,0,4,6,.284,.322,.441,.763
Patrick Bailey,SF,C,25,121,401,46,94,16,1,8,46,4,0,39,100,1,7,0,.234,.298,.339,.637
Wilyer Abreu,BOS,OF,25,132,399,59,101,33,2,15,58,8,3,40,125,0,5,3,.253,.322,.459,.781
Michael Toglia,COL,1B,26,116,399,62,87,14,3,25,55,10,1,54,147,0,3,1,.218,.311,.456,.767
Ozzie Albies,ATL,2B,28,99,399,52,100,29,1,10,53,8,1,27,65,0,4,5,.251,.303,.404,.707
Josh Bell,MIA,1B,32,104,398,38,95,18,1,14,49,0,0,34,88,0,3,5,.239,.305,.394,.699
Fernando Tatis,SD,OF,26,102,398,64,110,21,1,21,49,11,3,32,96,0,1,7,.276,.340,.492,.832
Nicky Lopez,CWS,2B,29,124,398,40,96,12,3,1,21,5,7,37,67,6,0,4,.241,.312,.294,.606
Davis Schneider,TOR,2B,26,135,397,48,76,19,1,13,46,6,0,47,144,0,5,5,.191,.282,.343,.625
Max Schuemann,OAK,SS,27,133,396,55,87,14,0,7,34,14,1,47,119,5,4,7,.220,.311,.308,.619
Jared Triolo,PIT,3B,27,125,394,41,85,10,1,9,46,8,1,42,118,0,5,5,.216,.296,.315,.611
